Year,Id_Experience,Experience,Desc_Experience
2011,11,6,11+ years
2011,41310,1,Null
2011,41435,1,Null
2011,<2,3,1 - 2 years
2011,,1,Null
2012,11,6,11+ years
2012,40944,1,Null
2012,41070,1,Null
2012,<2,3,1 - 2 years
2012,,1,Null
2013,11,6,11+ years
2013,2/05/2013,1,Null
2013,6/10/2013,1,Null
2013,<2,3,1 - 2 years
2013,,1,Null
2014,11,6,11+ years
2014,2/05/2014,1,Null
2014,6/10/2014,1,Null
2014,<2,3,1 - 2 years
2014,,1,Null
2015,1 - 2 years,3,1 - 2 years
2015,11+ years,6,11+ years
2015,2 - 5 years,4,2 - 5 years
2015,6 - 10 years,5,6 - 10 years
2015,Less than 1 year,2,Less than 1 year
2015,Years IT / Programming Experience,1,Null
2015,,1,Null
2016,1 - 2 years,3,1 - 2 years
2016,11+ years,6,11+ years
2016,2 - 5 years,4,2 - 5 years
2016,6 - 10 years,5,6 - 10 years
2016,Less than 1 year,2,Less than 1 year
2016,,1,Null
2017,1 to 2 years,3,1 - 2 years
2017,10 to 11 years,5,6 - 10 years
2017,11 to 12 years,6,11+ years
2017,12 to 13 years,6,11+ years
2017,13 to 14 years,6,11+ years
2017,14 to 15 years,6,11+ years
2017,15 to 16 years,6,11+ years
2017,16 to 17 years,6,11+ years
2017,17 to 18 years,6,11+ years
2017,18 to 19 years,6,11+ years
2017,19 to 20 years,6,11+ years
2017,2 to 3 years,4,2 - 5 years
2017,20 or more years,6,11+ years
2017,3 to 4 years,4,2 - 5 years
2017,4 to 5 years,4,2 - 5 years
2017,5 to 6 years,4,2 - 5 years
2017,6 to 7 years,5,6 - 10 years
2017,7 to 8 years,5,6 - 10 years
2017,8 to 9 years,5,6 - 10 years
2017,9 to 10 years,5,6 - 10 years
2017,Less than a year,2,Less than 1 year
2017,,1,Null
